Name, Release, LOC, #Comments, #Revisions, #Auth, #Fix, LOC touched, LOC added, MAX LOC added, AVG LOC added, churn, MAX churn, AVG churn, Buggy
src/java/org/apache/avro/io/ParsingDecoder.java,1.2.0,74,19,0,0,0,0,0,0,0,0,0,0,NO
src/java/org/apache/avro/io/ParsingEncoder.java,1.2.0,69,24,0,0,0,0,0,0,0,0,0,0,NO
src/java/org/apache/avro/io/ResolvingDecoder.java,1.2.0,203,78,0,0,0,0,0,0,0,0,0,0,NO
src/java/org/apache/avro/io/ValidatingDecoder.java,1.2.0,229,21,0,0,0,0,0,0,0,0,0,0,NO
src/java/org/apache/avro/io/ValidatingEncoder.java,1.2.0,202,25,0,0,0,0,0,0,0,0,0,0,NO
src/java/org/apache/avro/io/parsing/JsonGrammarGenerator.java,1.2.0,101,35,1,1,1,3,1,1,1,1,1,1,NO
src/java/org/apache/avro/io/parsing/Parser.java,1.2.0,165,65,1,1,1,21,21,21,21,21,21,21,NO
src/java/org/apache/avro/io/parsing/ResolvingGrammarGenerator.java,1.2.0,337,66,0,0,0,0,0,0,0,0,0,0,NO
src/java/org/apache/avro/io/parsing/SkipParser.java,1.2.0,94,43,0,0,0,0,0,0,0,0,0,0,NO
src/java/org/apache/avro/io/parsing/Symbol.java,1.2.0,381,80,1,1,1,1,0,0,0,1,1,1,NO
src/java/org/apache/avro/io/parsing/ValidatingGrammarGenerator.java,1.2.0,138,43,0,0,0,0,0,0,0,0,0,0,NO
src/java/org/apache/avro/ipc/AvroRemoteException.java,1.2.0,40,18,0,0,0,0,0,0,0,0,0,0,NO
src/java/org/apache/avro/ipc/ByteBufferInputStream.java,1.2.0,86,28,0,0,0,0,0,0,0,0,0,0,NO
src/java/org/apache/avro/ipc/ByteBufferOutputStream.java,1.2.0,90,23,0,0,0,0,0,0,0,0,0,0,NO
src/java/org/apache/avro/ipc/DatagramServer.java,1.2.0,78,18,1,1,0,79,79,79,79,79,79,79,NO
src/java/org/apache/avro/ipc/DatagramTransceiver.java,1.2.0,84,18,1,1,0,84,84,84,84,84,84,84,NO
src/java/org/apache/avro/ipc/HttpServer.java,1.2.0,59,20,2,1,0,111,85,76,42,93,76,46,NO
src/java/org/apache/avro/ipc/HttpTransceiver.java,1.2.0,111,19,4,1,0,128,120,116,30,124,116,31,NO
src/java/org/apache/avro/ipc/RPCContext.java,1.2.0,149,67,1,1,0,36,18,18,18,0,0,0,NO
src/java/org/apache/avro/ipc/RPCPlugin.java,1.2.0,74,55,1,1,0,8,4,4,4,0,0,0,NO
