Iteration,%TrainingInstances,Classifier,Feature Selection,Sampling,Cost Sensitive,Precision,Recall,AUC,Kappa,TP,FP,TN,FN,Cost
6,79.46428571428571,NaiveBayes,BestFirst(backward),none,SensitiveThreshold,0.13636363636363635,0.75,0.9092356687898089,0.19700748129675819,3.0,19.0,138.0,1.0,29.0
7,81.73719376391982,RandomForest,none,none,none,0.3333333333333333,0.375,0.7263621794871795,0.317700453857792,3.0,6.0,150.0,5.0,56.0
7,81.73719376391982,IBk,none,none,none,0.26666666666666666,0.5,0.8044871794871795,0.3035107587768971,4.0,11.0,145.0,4.0,51.0
7,81.73719376391982,NaiveBayes,none,none,none,0.0,0.0,0.7399839743589743,-0.027334851936218426,0.0,3.0,153.0,8.0,83.0
7,81.73719376391982,RandomForest,BestFirst(backward),none,none,0.375,0.375,0.7371794871794872,0.3429487179487173,3.0,5.0,151.0,5.0,55.0
7,81.73719376391982,IBk,BestFirst(backward),none,none,0.23076923076923078,0.375,0.7852564102564102,0.23980222496909792,3.0,10.0,146.0,5.0,60.0
7,81.73719376391982,NaiveBayes,BestFirst(backward),none,none,0.0,0.0,0.7311698717948718,-0.019900497512438227,0.0,2.0,154.0,8.0,82.0
7,81.73719376391982,RandomForest,none,SMOTE,none,0.1875,0.375,0.7175480769230769,0.19782608695652207,3.0,13.0,143.0,5.0,63.0
7,81.73719376391982,IBk,none,SMOTE,none,0.22727272727272727,0.625,0.8056891025641025,0.2819614711033275,5.0,17.0,139.0,3.0,47.0
7,81.73719376391982,NaiveBayes,none,SMOTE,none,0.0,0.0,0.7307692307692307,-0.027334851936218426,0.0,3.0,153.0,8.0,83.0
7,81.73719376391982,RandomForest,none,none,SensitiveThreshold,0.14814814814814814,0.5,0.7459935897435898,0.1657874905802561,4.0,23.0,133.0,4.0,63.0
7,81.73719376391982,IBk,none,none,SensitiveThreshold,0.17391304347826086,0.5,0.8044871794871795,0.20016963528413922,4.0,19.0,137.0,4.0,59.0
7,81.73719376391982,NaiveBayes,none,none,SensitiveThreshold,0.0,0.0,0.7399839743589743,-0.027334851936218426,0.0,3.0,153.0,8.0,83.0
7,81.73719376391982,RandomForest,BestFirst(backward),SMOTE,none,0.17647058823529413,0.375,0.7019230769230769,0.18599791013584108,3.0,14.0,142.0,5.0,64.0
7,81.73719376391982,IBk,BestFirst(backward),SMOTE,none,0.18181818181818182,0.5,0.7904647435897436,0.21015761821366016,4.0,18.0,138.0,4.0,58.0
7,81.73719376391982,NaiveBayes,BestFirst(backward),SMOTE,none,0.5,0.125,0.7355769230769231,0.1840796019900494,1.0,1.0,155.0,7.0,71.0
