@relation bookkeeper_Training_2

@attribute LOC numeric
@attribute num_comments numeric
@attribute num_revisions numeric
@attribute num_auth numeric
@attribute num_fix numeric
@attribute LOC_touched numeric
@attribute LOC_added numeric
@attribute MAX_LOC_added numeric
@attribute AVG_LOC_added numeric
@attribute churn numeric
@attribute MAX_churn numeric
@attribute AVG_churn numeric
@attribute buggy {'YES', 'NO'}

@data
58,25,1,1,0,58,58,58,58,58,58,58,NO
44,23,1,1,0,44,44,44,44,44,44,44,NO
139,96,1,1,0,22,12,12,12,2,2,2,NO
282,33,1,1,0,11,11,11,11,11,11,11,NO
582,307,6,3,0,270,152,106,25,116,68,19,YES
800,348,4,2,0,110,91,73,22,72,62,18,YES
216,53,3,1,0,27,19,9,6,11,7,3,YES
55,17,1,1,0,13,9,9,9,5,5,5,NO
184,40,3,2,0,17,8,4,2,3,2,1,NO
65,49,1,1,0,22,13,13,13,4,4,4,NO
150,60,2,1,0,59,26,25,13,7,7,3,YES
81,47,0,0,0,0,0,0,0,0,0,0,NO
84,31,0,0,0,0,0,0,0,0,0,0,NO
905,271,9,3,0,299,221,95,24,143,65,15,YES
312,94,5,3,0,76,70,44,14,64,44,12,YES
171,48,1,1,0,8,5,5,5,2,2,2,NO
153,41,6,3,0,103,30,19,5,49,46,8,YES
84,17,1,1,0,35,26,26,26,17,17,17,NO
169,40,2,2,0,6,5,4,2,4,4,2,YES
189,39,3,2,0,18,17,15,5,16,15,5,YES
127,28,5,2,0,94,59,37,11,24,14,4,YES
79,27,1,1,0,3,2,2,2,1,1,1,YES
90,28,1,1,0,47,25,25,25,3,3,3,NO
85,24,0,0,0,0,0,0,0,0,0,0,NO
123,68,3,3,0,22,20,10,6,20,10,6,YES
276,168,3,2,0,62,61,30,20,60,30,20,YES
549,304,6,2,0,192,182,110,30,182,110,30,YES
27,20,1,1,0,27,27,27,27,27,27,27,NO
88,35,2,1,0,90,89,84,44,88,84,44,YES
283,102,4,3,0,42,36,23,9,30,23,7,YES
175,52,2,2,0,42,12,7,6,24,21,12,YES
507,148,4,2,0,65,29,15,7,25,16,6,YES
209,65,1,1,0,5,5,5,5,5,5,5,NO
147,112,1,1,0,7,5,5,5,3,3,3,NO
98,34,1,1,0,2,1,1,1,0,0,0,NO
132,53,1,1,0,132,132,132,132,132,132,132,NO
236,72,1,1,0,236,236,236,236,236,236,236,YES
227,31,3,2,0,52,49,26,16,46,26,15,YES
172,90,3,2,0,22,20,10,6,18,8,6,NO
507,61,9,2,0,192,153,61,17,114,59,12,YES
90,20,1,1,0,90,90,90,90,90,90,90,YES
58,38,1,1,0,58,58,58,58,58,58,58,NO
132,55,0,0,0,0,0,0,0,0,0,0,NO
529,105,4,1,0,22,9,5,2,4,3,1,YES
694,113,10,3,0,295,193,48,19,107,43,10,YES
148,15,0,0,0,0,0,0,0,0,0,0,YES
174,60,0,0,0,0,0,0,0,0,0,0,NO
148,53,0,0,0,0,0,0,0,0,0,0,NO
92,44,1,1,0,4,2,2,2,0,0,0,NO
77,35,1,1,0,77,77,77,77,77,77,77,NO
664,219,2,1,0,667,666,665,333,665,665,332,NO
55,32,1,1,0,55,55,55,55,55,55,55,NO
256,37,3,2,0,64,43,33,14,22,19,7,YES
54,25,0,0,0,0,0,0,0,0,0,0,NO
38,20,0,0,0,0,0,0,0,0,0,0,YES
98,42,0,0,0,0,0,0,0,0,0,0,YES
39,17,0,0,0,0,0,0,0,0,0,0,NO
47,20,1,1,0,47,47,47,47,47,47,47,NO
69,34,0,0,0,0,0,0,0,0,0,0,YES
43,33,1,1,0,43,43,43,43,43,43,43,NO
94,46,0,0,0,0,0,0,0,0,0,0,YES
72,36,0,0,0,0,0,0,0,0,0,0,NO
42,33,0,0,0,0,0,0,0,0,0,0,NO
48,37,0,0,0,0,0,0,0,0,0,0,NO
63,48,0,0,0,0,0,0,0,0,0,0,YES
318,260,3,2,0,91,86,47,28,81,47,27,YES
136,21,1,1,0,3,3,3,3,3,3,3,YES
141,23,1,1,0,4,4,4,4,4,4,4,YES
190,28,1,1,0,17,15,15,15,13,13,13,YES
46,17,0,0,0,0,0,0,0,0,0,0,NO
165,24,1,1,0,81,59,59,59,37,37,37,NO
162,69,1,1,0,13,13,13,13,13,13,13,NO
58,29,0,0,0,0,0,0,0,0,0,0,NO
148,56,1,1,0,19,9,9,9,1,1,1,YES
74,23,0,0,0,0,0,0,0,0,0,0,NO
36,21,1,1,0,36,36,36,36,36,36,36,NO
37,22,0,0,0,0,0,0,0,0,0,0,NO
38,23,0,0,0,0,0,0,0,0,0,0,NO
39,24,0,0,0,0,0,0,0,0,0,0,NO
96,37,0,0,0,0,0,0,0,0,0,0,YES
88,37,0,0,0,0,0,0,0,0,0,0,NO
71,26,0,0,0,0,0,0,0,0,0,0,NO
114,43,1,1,0,28,14,14,14,0,0,0,NO
342,150,1,1,0,78,42,42,42,6,6,6,YES
84,30,0,0,0,0,0,0,0,0,0,0,NO
58,20,0,0,0,0,0,0,0,0,0,0,NO
129,49,1,1,0,8,7,7,7,6,6,6,NO
363,145,1,1,0,16,5,5,5,6,6,6,YES
242,90,1,1,0,13,12,12,12,11,11,11,YES
682,183,4,1,0,144,120,38,30,96,37,24,YES
366,131,1,1,0,2,1,1,1,0,0,0,YES
103,38,1,1,0,6,5,5,5,4,4,4,YES
41,18,0,0,0,0,0,0,0,0,0,0,NO
66,20,0,0,0,0,0,0,0,0,0,0,NO
63,33,1,1,0,9,9,9,9,9,9,9,NO
47,36,0,0,0,0,0,0,0,0,0,0,NO
183,63,0,0,0,0,0,0,0,0,0,0,NO
49,17,0,0,0,0,0,0,0,0,0,0,NO
50,17,0,0,0,0,0,0,0,0,0,0,NO
98,17,0,0,0,0,0,0,0,0,0,0,NO
143,48,1,1,0,5,5,5,5,5,5,5,NO
43,17,0,0,0,0,0,0,0,0,0,0,NO
42,17,0,0,0,0,0,0,0,0,0,0,NO
56,21,1,1,0,6,3,3,3,0,0,0,NO
162,27,0,0,0,0,0,0,0,0,0,0,YES
6523,153,1,1,0,12852,6504,6504,6504,156,156,156,YES
153,33,0,0,0,0,0,0,0,0,0,0,NO
43,20,1,1,0,2,1,1,1,0,0,0,NO
41,21,0,0,0,0,0,0,0,0,0,0,NO
400,159,3,2,0,414,407,397,135,400,397,133,YES
425,54,2,1,0,431,428,424,214,425,424,212,YES
1041,59,2,1,0,1073,1057,1029,528,1041,1029,520,YES
92,21,1,1,0,92,92,92,92,92,92,92,NO
355,62,2,1,0,359,357,357,178,359,357,179,YES
123,26,1,1,0,123,123,123,123,123,123,123,NO
105,18,0,0,0,0,0,0,0,0,0,0,YES
105,17,0,0,0,0,0,0,0,0,0,0,YES
92,17,0,0,0,0,0,0,0,0,0,0,YES
101,18,0,0,0,0,0,0,0,0,0,0,NO
45,19,0,0,0,0,0,0,0,0,0,0,YES
299,53,2,1,0,14,12,8,6,10,8,5,YES
32,17,1,1,0,2,1,1,1,0,0,0,NO
111,20,0,0,0,0,0,0,0,0,0,0,NO
35,20,0,0,0,0,0,0,0,0,0,0,NO
85,18,1,1,0,4,4,4,4,4,4,4,YES
27,17,0,0,0,0,0,0,0,0,0,0,NO
28,17,0,0,0,0,0,0,0,0,0,0,NO
36,20,2,1,0,7,7,5,3,7,5,3,YES
574,152,2,1,0,14,11,8,5,8,5,4,YES
67,17,1,1,0,3,3,3,3,3,3,3,NO
29,21,0,0,0,0,0,0,0,0,0,0,NO
72,18,1,1,0,8,8,8,8,8,8,8,NO
37,27,0,0,0,0,0,0,0,0,0,0,NO
51,17,2,1,0,53,52,51,26,51,51,25,NO
31,23,1,1,0,31,31,31,31,31,31,31,NO
77,17,1,1,0,9,9,9,9,9,9,9,YES
168,33,1,1,0,14,14,14,14,14,14,14,YES
81,18,1,1,0,11,10,10,10,9,9,9,YES
37,29,1,1,0,37,37,37,37,37,37,37,NO
27,20,1,1,0,27,27,27,27,27,27,27,NO
48,21,1,1,0,48,48,48,48,48,48,48,NO
436,65,3,1,0,107,79,53,26,67,53,22,YES
77,20,1,1,0,77,77,77,77,77,77,77,YES
63,41,1,1,0,63,63,63,63,63,63,63,NO
76,30,0,0,0,0,0,0,0,0,0,0,NO
191,35,2,1,0,195,193,190,96,191,190,95,YES
160,31,1,1,0,1,1,1,1,1,1,1,NO
906,135,3,1,0,245,207,165,69,169,131,56,YES
74,17,0,0,0,0,0,0,0,0,0,0,NO
94,24,0,0,0,0,0,0,0,0,0,0,NO
22,17,0,0,0,0,0,0,0,0,0,0,NO
481,67,2,1,0,70,62,50,31,54,42,27,NO
62,17,0,0,0,0,0,0,0,0,0,0,NO
58,22,0,0,0,0,0,0,0,0,0,0,NO
94,70,1,1,0,3,3,3,3,3,3,3,NO
27,22,0,0,0,0,0,0,0,0,0,0,NO
77,30,0,0,0,0,0,0,0,0,0,0,NO
744,247,3,1,0,46,43,29,14,40,28,13,YES
64,20,1,1,0,64,64,64,64,64,64,64,YES
45,32,1,1,0,45,45,45,45,45,45,45,NO
63,45,0,0,0,0,0,0,0,0,0,0,NO
37,17,0,0,0,0,0,0,0,0,0,0,NO
64,29,0,0,0,0,0,0,0,0,0,0,NO
124,19,0,0,0,0,0,0,0,0,0,0,NO
172,24,2,1,0,30,21,11,10,12,10,6,NO
36,17,1,1,0,4,2,2,2,0,0,0,NO
58,18,0,0,0,0,0,0,0,0,0,0,NO
62,17,0,0,0,0,0,0,0,0,0,0,NO
132,32,1,1,0,6,4,4,4,2,2,2,NO
74,21,1,1,0,2,1,1,1,0,0,0,NO
83,17,0,0,0,0,0,0,0,0,0,0,NO
74,20,0,0,0,0,0,0,0,0,0,0,NO
48,28,0,0,0,0,0,0,0,0,0,0,NO
60,27,0,0,0,0,0,0,0,0,0,0,NO
86,25,1,1,0,20,18,18,18,16,16,16,NO
355,47,3,1,0,334,253,241,84,186,174,62,NO
53,20,0,0,0,0,0,0,0,0,0,0,NO
612,90,4,1,0,210,185,98,46,160,92,40,YES
39,17,0,0,0,0,0,0,0,0,0,0,NO
78,23,0,0,0,0,0,0,0,0,0,0,YES
85,34,1,1,0,27,24,24,24,21,21,21,YES
31,23,0,0,0,0,0,0,0,0,0,0,NO
57,45,0,0,0,0,0,0,0,0,0,0,NO
108,86,1,1,0,4,4,4,4,4,4,4,NO
32,17,1,1,0,2,1,1,1,0,0,0,NO
227,17,0,0,0,0,0,0,0,0,0,0,NO
201,43,1,1,0,4,4,4,4,4,4,4,NO
80,60,1,1,0,5,5,5,5,5,5,5,NO
28,17,0,0,0,0,0,0,0,0,0,0,NO
57,19,1,1,0,5,5,5,5,5,5,5,NO
446,50,2,1,0,19,18,17,9,17,17,8,NO
103,17,0,0,0,0,0,0,0,0,0,0,NO
35,17,1,1,0,2,1,1,1,0,0,0,NO
98,17,0,0,0,0,0,0,0,0,0,0,NO
79,22,0,0,0,0,0,0,0,0,0,0,NO
