name,firstCommit,#Commits
src/java/org/apache/avro/generic/GenericArray.java,,0
src/java/org/apache/avro/generic/GenericContainer.java,,0
src/java/org/apache/avro/generic/GenericData.java,commit db971a2ecfa4990f3512afac14acc1fb37248a42 1255121687 -----sp,2
src/java/org/apache/avro/generic/GenericDatumReader.java,commit 5661078ce4669dc428f8f59f39aa182666020f38 1253828046 -----sp,1
src/java/org/apache/avro/generic/GenericDatumWriter.java,,0
src/java/org/apache/avro/generic/GenericFixed.java,,0
src/java/org/apache/avro/generic/GenericRecord.java,,0
src/java/org/apache/avro/generic/GenericRequestor.java,commit bc9491c9dcea4035f3fd4733a2c0b649d08398ed 1255553215 -----sp,1
src/java/org/apache/avro/generic/GenericResponder.java,,0
src/java/org/apache/avro/io/BinaryData.java,,0
src/java/org/apache/avro/io/BinaryDecoder.java,,0
src/java/org/apache/avro/io/BinaryEncoder.java,,0
src/java/org/apache/avro/io/BlockingBinaryEncoder.java,commit bc9491c9dcea4035f3fd4733a2c0b649d08398ed 1255553215 -----sp,1
src/java/org/apache/avro/io/DatumReader.java,,0
src/java/org/apache/avro/io/DatumWriter.java,,0
src/java/org/apache/avro/io/Decoder.java,,0
src/java/org/apache/avro/io/Encoder.java,,0
src/java/org/apache/avro/io/JsonDecoder.java,,0
src/java/org/apache/avro/io/JsonEncoder.java,commit 7c346f7ae726fd3213a9974752a3c4739469f79b 1253828528 -----sp,1
src/java/org/apache/avro/io/ParsingDecoder.java,,0
src/java/org/apache/avro/io/ParsingEncoder.java,,0
src/java/org/apache/avro/io/ResolvingDecoder.java,,0
src/java/org/apache/avro/io/ValidatingDecoder.java,,0
src/java/org/apache/avro/io/ValidatingEncoder.java,,0
src/java/org/apache/avro/io/parsing/JsonGrammarGenerator.java,commit 7c346f7ae726fd3213a9974752a3c4739469f79b 1253828528 -----sp,1
src/java/org/apache/avro/io/parsing/Parser.java,commit 7c346f7ae726fd3213a9974752a3c4739469f79b 1253828528 -----sp,1
src/java/org/apache/avro/io/parsing/ResolvingGrammarGenerator.java,,0
src/java/org/apache/avro/io/parsing/SkipParser.java,,0
src/java/org/apache/avro/io/parsing/Symbol.java,commit 7c346f7ae726fd3213a9974752a3c4739469f79b 1253828528 -----sp,1
src/java/org/apache/avro/io/parsing/ValidatingGrammarGenerator.java,,0
src/java/org/apache/avro/ipc/AvroRemoteException.java,,0
src/java/org/apache/avro/ipc/ByteBufferInputStream.java,,0
src/java/org/apache/avro/ipc/ByteBufferOutputStream.java,,0
