key,creationDate,resolutionDate,injectedVersion,openingVersion,fixedVersion,affectedVersion,numOfCommits
AVRO-801,2011-04-08,2011-04-20,1.4.1,1.5.1,1.5.1,[1.4.1, 1.5.0, 1.5.0],0
AVRO-809,2011-04-22,2011-05-18,1.5.0,1.5.1,1.5.2,[1.5.0, 1.5.1],0
AVRO-813,2011-04-27,2019-04-01,1.5.0,1.5.1,1.9.0,[1.5.0, 1.5.1, 1.5.2, 1.5.3, 1.5.4, 1.6.0, 1.6.1, 1.6.2, 1.6.3, 1.7.0, 1.7.1, 1.7.2, 1.7.3, 1.7.4, 1.7.5, 1.7.7, 1.8.0, 1.8.1, 1.8.2],0
AVRO-819,2011-05-12,2011-05-12,1.5.1,1.5.2,1.5.2,[1.5.1],0
AVRO-818,2011-05-12,2011-05-12,1.5.1,1.5.2,1.5.2,[1.5.1],0
AVRO-820,2011-05-13,2011-05-19,1.4.1,1.5.2,1.5.2,[1.4.1, 1.5.0, 1.5.1, 1.5.0, 1.5.1],0
AVRO-824,2011-05-18,2011-06-29,1.5.0,1.5.2,1.5.2,[1.5.0, 1.5.1],0
AVRO-825,2011-05-19,2011-07-01,1.5.1,1.5.2,1.5.2,[1.5.1],0
AVRO-833,2011-05-31,2011-05-31,1.5.0,1.5.2,1.5.2,[1.5.0, 1.5.1],0
AVRO-832,2011-05-31,2011-06-02,1.5.0,1.5.2,1.5.2,[1.5.0, 1.5.1],0
AVRO-835,2011-06-04,2011-12-07,1.5.0,1.5.2,1.6.2,[1.5.0, 1.5.1, 1.5.2, 1.5.3, 1.5.4, 1.6.0, 1.6.1],0
AVRO-842,2011-06-24,2011-07-01,1.5.1,1.5.2,1.5.2,[1.5.1],0
AVRO-845,2011-06-29,2011-06-30,1.5.1,1.5.2,1.5.2,[1.5.1],0
AVRO-851,2011-07-06,2012-09-13,1.5.1,1.5.2,1.7.2,[1.5.1, 1.5.2, 1.5.3, 1.5.4, 1.6.0, 1.6.1, 1.6.2, 1.6.3, 1.7.0, 1.7.1],0
AVRO-864,2011-07-24,2011-07-27,1.5.0,1.5.2,1.5.2,[1.5.0, 1.5.1],0
AVRO-869,2011-08-03,2011-10-12,1.5.1,1.5.2,1.6.0,[1.5.1, 1.5.2, 1.5.3, 1.5.4],0
AVRO-871,2011-08-09,2011-10-07,1.5.1,1.5.2,1.6.0,[1.5.1, 1.5.2, 1.5.3, 1.5.4],0
AVRO-879,2011-08-22,2011-08-25,1.5.1,1.5.3,1.5.3,[1.5.1, 1.5.2],0
AVRO-884,2011-09-06,2011-09-07,1.5.2,1.5.4,1.5.4,[1.5.2, 1.5.3, 1.5.3],0
AVRO-892,2011-09-21,2011-09-22,1.5.4,1.6.0,1.6.0,[1.5.4],0
AVRO-894,2011-09-25,2011-09-25,1.5.4,1.6.0,1.6.0,[1.5.4, 1.6.0],0
AVRO-895,2011-09-26,2011-10-01,1.5.4,1.6.0,1.6.0,[1.5.4],0
AVRO-898,2011-09-27,2011-10-03,1.5.4,1.6.0,1.6.0,[1.5.4],0
AVRO-900,2011-10-01,2011-10-05,1.5.3,1.6.0,1.6.0,[1.5.3, 1.5.4],0
AVRO-901,2011-10-02,2011-10-05,1.5.3,1.6.0,1.6.0,[1.5.3, 1.5.4],0
AVRO-906,2011-10-04,2011-10-05,1.5.3,1.6.0,1.6.0,[1.5.3, 1.5.4],0
AVRO-904,2011-10-04,2011-10-07,1.5.4,1.6.0,1.6.0,[1.5.4],0
AVRO-903,2011-10-04,2011-10-07,1.5.4,1.6.0,1.6.0,[1.5.4],0
AVRO-902,2011-10-04,2011-10-07,1.5.4,1.6.0,1.6.0,[1.5.4],0
AVRO-912,2011-10-06,2011-10-07,1.5.3,1.6.0,1.6.0,[1.5.3, 1.5.4],0
AVRO-913,2011-10-06,2011-10-12,1.5.4,1.6.0,1.6.0,[1.5.4],0
AVRO-914,2011-10-07,2011-10-07,1.5.3,1.6.0,1.6.0,[1.5.3, 1.5.4],0
AVRO-917,2011-10-08,2011-10-12,1.5.3,1.6.0,1.6.0,[1.5.3, 1.5.4],0
AVRO-916,2011-10-08,2011-10-12,1.5.3,1.6.0,1.6.0,[1.5.3, 1.5.4],0
AVRO-925,2011-10-12,2011-10-14,1.5.4,1.6.0,1.6.0,[1.5.4],0
AVRO-927,2011-10-14,2011-10-17,1.5.4,1.6.0,1.6.0,[1.5.4],0
AVRO-931,2011-10-16,2011-10-17,1.5.3,1.6.0,1.6.0,[1.5.3, 1.5.4],0
AVRO-942,2011-10-23,2011-10-24,1.5.3,1.6.0,1.6.0,[1.5.3, 1.5.4],0
AVRO-943,2011-10-25,2011-11-01,1.5.3,1.6.0,1.6.0,[1.5.3, 1.5.4],0
AVRO-945,2011-10-27,2011-10-28,1.5.3,1.6.0,1.6.0,[1.5.3, 1.5.4],0
AVRO-948,2011-10-28,2011-10-28,1.5.3,1.6.0,1.6.0,[1.5.3, 1.5.4],0
AVRO-951,2011-11-03,2011-11-04,1.6.0,1.6.1,1.6.1,[1.6.0],0
AVRO-950,2011-11-03,2011-11-04,1.6.0,1.6.1,1.6.1,[1.6.0],0
AVRO-954,2011-11-07,2012-04-22,1.6.0,1.6.1,1.7.0,[1.6.0, 1.6.1, 1.6.2, 1.6.3],0
AVRO-962,2011-11-28,2011-12-05,1.6.1,1.6.2,1.6.2,[1.6.1],0
AVRO-966,2011-11-30,2011-12-07,1.6.1,1.6.2,1.6.2,[1.6.1],0
AVRO-968,2011-12-02,2012-01-24,1.6.1,1.6.2,1.6.2,[1.6.1, 1.6.2, 1.7.0],0
AVRO-972,2011-12-08,2011-12-09,1.6.1,1.6.2,1.6.2,[1.6.1],0
AVRO-978,2011-12-12,2011-12-13,1.6.0,1.6.2,1.6.2,[1.6.0, 1.6.1],0
AVRO-980,2011-12-13,2012-02-09,1.6.1,1.6.2,1.6.2,[1.6.1],0
AVRO-979,2011-12-13,2013-02-20,1.6.1,1.6.2,1.7.4,[1.6.1, 1.6.2, 1.6.3, 1.7.0, 1.7.1, 1.7.2, 1.7.3],0
AVRO-981,2011-12-15,2012-10-06,1.5.4,1.6.2,1.7.3,[1.5.4, 1.6.1, 1.6.0, 1.6.1, 1.6.2, 1.6.3, 1.7.0, 1.7.1, 1.7.2],0
AVRO-984,2011-12-19,2011-12-27,1.6.1,1.6.2,1.6.2,[1.6.1, 1.6.2, 1.7.0],0
AVRO-986,2011-12-22,2012-01-26,1.6.0,1.6.2,1.6.2,[1.6.0, 1.6.1],0
AVRO-994,2012-01-16,2012-01-17,1.6.0,1.6.2,1.6.2,[1.6.0, 1.6.1, 1.6.1],0
AVRO-993,2012-01-16,2012-01-17,1.6.0,1.6.2,1.6.2,[1.6.0, 1.6.1, 1.6.1],0
